date,portfolio_value,cash,n_positions,portfolio_return,sp500_value,sp500_return
2023-09-25,108648.62631225583,108648.62631225583,0,8.648626312255825,151.58460998535156,-4.095976147971547
2023-09-26,108648.62631225583,108648.62631225583,0,8.648626312255825,150.4117431640625,-4.838021449371399
2023-09-27,108648.62631225583,108648.62631225583,0,8.648626312255825,148.6051483154297,-5.9810115950793
2023-09-28,108648.62631225583,108648.62631225583,0,8.648626312255825,148.38758850097656,-6.118656581839977
2023-09-29,108648.62631225583,108648.62631225583,0,8.648626312255825,147.31874084472656,-6.794891399669378
2023-10-02,108648.62631225583,108648.62631225583,0,8.648626312255825,146.75120544433594,-7.153957722966919
2023-10-03,108648.62631225583,108648.62631225583,0,8.648626312255825,146.9309539794922,-7.040235044888599
2023-10-04,108648.62631225583,108648.62631225583,0,8.648626312255825,147.10121154785156,-6.93251707867486
2023-10-05,108648.62631225583,108648.62631225583,0,8.648626312255825,148.63351440429688,-5.963065036628745
2023-10-06,108648.62631225583,108648.62631225583,0,8.648626312255825,149.1064453125,-5.663852754425047
2023-10-09,108648.62631225583,108648.62631225583,0,8.648626312255825,149.95770263671875,-5.125282231111516
2023-10-10,108648.62631225583,108648.62631225583,0,8.648626312255825,149.78746032714844,-5.232990543447658
2023-10-11,108648.62631225583,108648.62631225583,0,8.648626312255825,147.72547912597656,-6.537557638476188
2023-10-12,108648.62631225583,108648.62631225583,0,8.648626312255825,147.86737060546875,-6.447786230713004
2023-10-13,108648.62631225583,108648.62631225583,0,8.648626312255825,148.3592071533203,-6.136612794168128
2023-10-16,108648.62631225583,108648.62631225583,0,8.648626312255825,149.0023956298828,-5.729682545750691
2023-10-17,108648.62631225583,108648.62631225583,0,8.648626312255825,147.64035034179688,-6.591416621583058
2023-10-18,108648.62631225583,108648.62631225583,0,8.648626312255825,144.4622039794922,-8.602155208865502
2023-10-19,108648.62631225583,108648.62631225583,0,8.648626312255825,144.07443237304688,-8.847489200207137
2023-10-20,108648.62631225583,108648.62631225583,0,8.648626312255825,144.71762084960938,-8.44055895178969
2023-10-23,108648.62631225583,108648.62631225583,0,8.648626312255825,143.1947784423828,-9.404025589726416
2023-10-24,108648.62631225583,108648.62631225583,0,8.648626312255825,143.04344177246094,-9.49977274772139
2023-10-25,108594.31170421597,54279.703664360015,5,8.594311704215961,143.3650360107422,-9.296307623512678
2023-10-26,107154.39639049527,54279.703664360015,5,7.154396390495266,140.93417358398438,-10.83425720941925
2023-10-27,107106.82822185513,54279.703664360015,5,7.106828221855133,137.71820068359375,-12.86892775926164
2023-10-30,108097.03799205777,54279.703664360015,5,8.097037992057764,139.07080078125,-12.013169433661064
2023-10-31,107932.72486644742,54279.703664360015,5,7.932724866447427,140.30987548828125,-11.229235957373106
2023-11-01,108957.53298717496,54279.703664360015,5,8.957532987174964,140.64093017578125,-11.019785429055007
2023-11-02,109407.2352119064,54279.703664360015,5,9.407235211906407,142.1070556640625,-10.092202254141803
2023-11-03,110103.40712505337,54279.703664360015,5,10.103407125053376,143.1474609375,-9.433962264150942
2023-11-06,110600.68083721158,54279.703664360015,5,10.600680837211574,143.48797607421875,-9.218526331723453
2023-11-07,110912.00957256314,54279.703664360015,5,10.91200957256313,142.73129272460938,-9.697262121698325
2023-11-08,111288.20067363736,54279.703664360015,5,11.28820067363736,142.2110595703125,-10.026401424448949
2023-11-09,110596.34650188443,54279.703664360015,5,10.596346501884435,139.43968200683594,-11.77978694278301
2023-11-10,111612.5058646774,54279.703664360015,5,11.612505864677392,139.2788848876953,-11.881519504887372
2023-11-13,111396.30682903287,54279.703664360015,5,11.396306829032877,139.6383056640625,-11.654122418118707
2023-11-14,112057.88702922818,54279.703664360015,5,12.057887029228187,139.66668701171875,-11.636166205790555
2023-11-15,112490.29173809048,54279.703664360015,5,12.490291738090487,140.74497985839844,-10.953955637729361
2023-11-16,113429.93750415796,113429.93750415796,0,13.429937504157952,141.974609375,-10.175997911673196
2023-11-17,113429.93750415796,113429.93750415796,0,13.429937504157952,141.68138122558594,-10.361516477431355
2023-11-20,113429.93750415796,113429.93750415796,0,13.429937504157952,142.93038940429688,-9.571298326828547
2023-11-21,113429.93750415796,113429.93750415796,0,13.429937504157952,144.08404541015625,-8.841407257321787
2023-11-22,113429.93750415796,113429.93750415796,0,13.429937504157952,143.7980499267578,-9.022349885099546
